index;x;y;z
0;-0.001587;-0.126923;-0.924835
1;-0.016098;-0.152374;-0.984848
2;-0.069244;-0.129959;-1.023392
3;-0.033081;-0.147522;-1.021637
4;-0.033966;-0.254410;-0.966263
5;-0.051834;-0.300156;-0.967667
6;-0.063797;-0.180252;-0.724930
7;-0.140106;-0.046921;-1.012573
8;-0.039948;-0.172958;-1.178467
9;-0.122787;-0.040039;-0.874481
10;-0.072067;-0.213409;-0.859436
11;-0.132797;-0.121140;-0.951080
12;-0.031754;-0.136948;-0.950256
13;-0.046097;-0.063690;-0.959473
14;0.017471;-0.298981;-1.203888
15;-0.030487;-0.092545;-0.905426
16;0.013733;-0.197769;-0.867935
17;-0.064163;-0.198914;-1.005722
18;-0.114029;-0.229797;-1.062271
19;-0.210617;-0.230057;-0.980835
20;-0.164154;-0.264603;-1.006149
21;-0.210251;-0.117294;-1.040649
22;-0.205566;-0.185104;-1.086258
23;-0.257385;0.038544;-0.934250
24;-0.468018;0.064240;-0.817245
25;-0.356201;0.086639;-0.634125
26;-0.223099;0.141525;-0.714859
27;-0.197632;0.261826;-0.986954
28;0.110855;0.252563;-1.096603
29;0.141068;0.242874;-0.902679
30;-0.138138;0.383316;-1.040695
31;0.309006;0.307465;-1.219513
32;0.179886;0.336151;-0.908279
33;0.170547;0.361176;-1.084015
34;0.438736;0.375641;-0.955688
35;0.304810;0.439774;-0.884811
36;0.720215;0.398773;-0.811539
37;0.704620;0.607819;-0.734207
38;0.510742;0.459183;-1.350021
39;0.598373;0.444824;-0.766861
40;-0.039673;0.565384;-0.599106
41;0.657028;0.478836;-0.893814
42;0.873978;0.632339;-0.190125
43;0.790176;0.520248;-0.551132
44;1.127884;0.546585;-0.266418
45;0.988586;0.391663;0.105270
46;0.895370;0.496460;-0.362808
47;0.574020;0.947891;-0.066406
48;0.306580;0.837753;-0.504745
49;0.170410;1.100616;-0.477554
50;0.836609;1.089966;0.347733
51;0.827332;0.609085;-0.165985
52;0.940277;0.729721;-0.116333
53;0.373581;0.329041;-0.142944
54;0.446854;0.144562;-0.312225
55;0.259201;0.557526;-0.288895
56;0.241959;0.845215;-0.203613
57;0.174438;0.844086;-0.095901
58;0.317368;1.445663;-0.410873
59;0.399429;0.747192;-0.317032
60;0.334961;0.761932;-0.489334
61;0.402435;0.941177;-0.414398
62;0.342133;1.045944;-0.490311
63;0.256287;0.889801;-0.596359
64;0.200211;0.643005;-0.325241
65;0.203659;0.915649;0.034866
66;-0.008804;1.292847;-0.084091
67;-0.011307;1.333984;-0.226395
68;-0.020447;0.784805;0.332458
69;-0.260300;0.587662;0.156067
70;-0.007385;0.723602;-0.074509
71;0.234238;1.068634;-0.296524
72;0.192093;1.091797;0.024170
73;0.057663;0.583679;0.373077
74;0.268387;1.086609;0.108566
75;1.026184;2.532578;-0.263245
76;0.171906;1.057022;-0.057510
77;0.162537;1.189819;-0.115952
78;0.200668;0.807922;-0.066147
79;0.090805;0.698227;0.063232
80;0.170593;0.900269;0.046158
81;0.161331;1.012466;-0.102158
82;0.210464;1.039215;-0.163376
83;0.732803;1.177887;-0.348129
84;0.523346;1.254288;-0.110626
85;0.255142;1.145889;-0.120148
86;0.095016;1.107376;0.031036
87;-0.081284;1.465485;-0.073959
88;-0.110367;1.641006;0.227509
89;0.251556;1.124863;-0.106842
90;0.277954;0.955658;-0.359268
91;0.104919;0.882904;0.026154
92;0.081009;0.641083;0.079483
93;0.055588;0.634201;-0.007889
94;-0.084396;0.558182;-0.044540
95;-0.039841;0.523666;0.017059
96;0.026306;0.684708;-0.097214
97;0.179474;0.722366;-0.492905
98;0.666428;1.122665;-0.895813
99;0.856659;1.375717;-0.652832
100;0.826843;1.186478;-0.415924
101;0.677322;0.565094;-0.396744
102;0.240616;0.327896;0.018387
103;-0.163452;1.151581;0.260239
104;0.422714;3.139160;-1.096176
105;-0.792297;0.082825;0.184204
106;-0.379089;0.360855;0.512970
107;0.211594;1.923264;0.232437
108;0.205521;1.261108;-0.119736
109;-0.213486;0.812637;0.003448
110;0.053223;0.920959;0.016983
111;0.175537;0.968506;0.037064
112;0.167847;0.870575;-0.022415
113;0.216888;0.884842;-0.017334
114;0.223465;0.830795;-0.052124
115;0.168762;0.889359;-0.047363
116;0.198410;0.987656;-0.075027
117;0.282486;1.086945;-0.041809
118;0.454803;1.132980;-0.121246
119;0.533798;1.094330;-0.182465
120;0.545837;1.126511;-0.287903
121;0.461639;1.140900;-0.203934
122;0.161743;1.052109;-0.109085
123;-0.065247;1.311752;0.099503
124;-0.399338;1.800262;0.029861
125;-0.319046;1.454132;-0.024094
126;0.186020;0.979034;-0.323715
127;0.294891;0.951294;-0.216507
128;0.131424;0.840790;0.009140
129;-0.030212;0.666489;0.003174
130;-0.152267;0.558121;-0.021545
131;-0.239716;0.431717;-0.001404
132;-0.145706;0.469666;-0.016388
133;0.089752;0.604507;-0.137833
134;0.336777;0.895157;-0.566681
135;1.000977;1.570526;-1.084442
136;0.700668;1.244308;-0.793381
137;0.298645;0.933426;-0.668243
138;0.096863;0.620941;-0.431030
139;0.079407;0.872635;-0.324081
140;0.218292;1.254410;-0.298294
141;0.116272;1.506790;-0.463135
142;-0.435089;0.295792;0.244568
143;0.072281;0.952545;0.296646
144;0.278397;1.538086;-0.087341
145;0.231430;1.138519;-0.030838
146;-0.029572;0.847015;-0.037994
147;0.045197;0.835861;0.086273
148;0.129303;0.983597;0.086823
149;0.214737;0.970612;0.090576
150;0.151672;0.852570;0.033234
151;0.171738;0.857681;-0.033447
152;0.060959;0.998184;-0.062317
153;0.146378;1.078018;-0.087631
154;0.157120;0.990311;-0.073761
155;0.184387;1.019104;-0.154251
156;0.563156;1.083496;-0.041794
157;0.486481;1.142822;-0.173660
158;0.526932;1.212494;-0.216293
159;0.302719;1.121689;-0.140030
160;-0.075882;1.274429;-0.100143
161;-0.178024;1.470001;-0.015717
162;-0.165344;1.749878;0.287460
163;0.172440;1.231506;-0.045868
164;0.220078;1.000626;-0.336578
165;0.131012;0.828506;0.041840
166;0.012970;0.609665;0.089294
167;-0.005722;0.533463;0.005341
168;-0.063995;0.531677;-0.033981
169;-0.032639;0.583008;-0.091888
170;0.058624;0.787170;-0.073792
171;0.190216;0.747849;-0.400482
172;0.547592;0.975250;-0.683578
173;0.725403;1.028473;-0.602280
174;0.718521;1.069641;-0.524521
175;0.616562;1.027008;-0.539291
176;0.470001;0.649994;-0.508041
177;0.019318;0.740829;-0.158356
178;0.280655;1.352066;0.197632
179;-0.248810;1.803635;-1.158905
180;-0.410049;0.459839;0.158142
181;0.143417;0.723099;0.242081
182;0.079483;1.359512;-0.006805
183;-0.019379;1.228073;-0.116653
184;-0.135773;1.002167;-0.036255
185;0.012665;0.943329;0.120712
186;0.191162;0.856018;0.162994
187;0.252197;0.968842;0.092026
188;0.237045;0.857758;-0.020813
189;0.247162;0.914307;0.004974
190;0.264420;1.085114;-0.189316
191;0.296036;1.007950;-0.129333
192;0.174652;1.050323;-0.200806
193;0.354477;1.006653;-0.210190
194;0.472382;1.179855;-0.199280
195;0.586288;1.227325;-0.260193
196;0.532898;1.089722;-0.043152
197;-0.035965;1.471283;0.164597
198;-0.682449;2.016754;0.034576
199;-0.352005;1.495285;0.193817
200;0.298538;0.931046;-0.339722
201;0.061401;0.925186;-0.073196
202;0.135300;0.693024;0.099091
203;0.036102;0.495270;-0.000549
204;-0.146606;0.330139;-0.017685
205;-0.234390;0.314423;0.006378
206;0.049164;0.440826;0.020569
207;0.267670;0.679993;-0.256958
208;0.688110;1.359924;-1.135880
209;0.860077;1.725677;-1.102066
210;0.442322;1.116455;-0.771439
211;0.243896;0.563156;-0.327682
212;0.342743;1.167709;-0.410858
213;-0.509338;1.502365;-0.729874
214;-0.331726;0.367432;0.606049
215;0.125381;1.094193;0.420868
216;0.142120;1.419525;0.030365
217;-0.156250;0.987961;-0.006104
218;-0.185593;0.986816;-0.053131
219;0.056992;1.002701;0.093781
220;0.189316;0.989136;0.120575
221;0.363602;0.851822;0.068619
222;0.332657;0.812332;0.008835
223;0.167755;0.840164;0.014938
224;0.178223;0.978424;-0.024643
225;0.137360;0.995697;-0.116730
226;0.204544;0.995758;-0.044907
227;0.444656;1.140320;-0.103607
228;0.421295;1.186005;-0.227737
