index;x;y;z
0;0.018478;-0.286102;-1.047623
1;0.070587;-0.269745;-0.999954
2;0.000519;-0.208511;-0.931915
3;0.030029;-0.230225;-0.999207
4;0.010269;-0.234985;-1.009079
5;-0.023682;-0.235123;-0.899017
6;-0.092316;-0.168060;-0.725327
7;0.063110;-0.426544;-0.851440
8;-0.150024;-0.228271;-0.556641
9;0.168381;-0.306091;-1.174194
10;0.063110;-0.177216;-0.457794
11;-0.058151;-0.188156;-0.788925
12;0.238342;-0.304352;-1.005234
13;0.307617;-0.311111;-0.998444
14;0.296783;-0.492828;-1.201569
15;0.350494;-0.091629;-0.530045
16;0.537628;-0.089417;-0.801712
17;0.754608;0.159363;-0.925690
18;0.619064;0.389221;-1.068893
19;0.599899;0.546280;-0.499512
20;0.070450;0.580322;-1.457764
21;-0.112595;0.230423;-1.381714
22;-1.035385;0.216309;-1.637451
23;0.057831;0.314789;-1.551987
24;0.558105;0.695419;-0.065704
25;0.763733;0.954041;-0.314697
26;0.934982;0.794128;-0.322403
27;1.068085;0.640915;-0.363831
28;1.231216;0.516388;-0.388351
29;0.885086;0.427933;-0.927643
30;0.660416;0.344528;-0.892075
31;0.941254;0.582184;-1.558411
32;0.546570;0.687561;-0.352722
33;0.641159;0.528961;-0.650055
34;0.653641;0.721375;-0.317947
35;0.625565;0.705093;-0.502090
36;0.732300;0.597565;-0.349625
37;0.703659;0.409866;-0.391739
38;0.525772;0.529129;-0.388962
39;0.536057;0.440674;-0.213470
40;0.839203;0.621201;-0.311890
41;0.777267;0.679672;-0.349777
42;0.762558;0.706650;-0.339966
43;0.621414;0.582642;-0.358337
44;0.726807;0.555603;-0.366913
45;0.946075;0.317383;-0.398117
46;0.699722;0.362274;-0.280594
47;0.821426;0.324127;-0.109497
48;0.904114;0.356186;-0.146103
49;0.775024;0.408905;-0.086716
50;0.523849;0.397125;-0.182678
51;0.738129;0.524796;-0.208481
52;0.982437;0.902145;0.203232
53;0.922821;1.370911;0.010162
54;0.615326;1.414322;-0.283920
55;0.481155;1.263428;-0.021652
56;0.098160;0.840378;0.016220
57;-0.110901;0.628876;-0.011826
58;0.101257;0.555206;0.027802
59;0.483124;0.582886;0.045471
60;0.430099;0.989441;0.312897
61;0.330582;1.567444;0.237381
62;0.099335;1.429138;0.091690
63;0.205063;1.059265;0.225906
64;0.025101;1.159317;0.143677
65;0.083023;0.966293;0.101730
66;-0.014053;0.864563;0.213730
67;-0.045761;0.728302;0.046677
68;0.098846;0.605469;-0.052399
69;0.203690;0.987625;0.059174
70;0.035095;0.501740;0.227585
71;0.059937;1.254211;-0.081497
72;0.091919;1.337219;0.004959
73;0.131516;1.213562;-0.047531
74;0.217575;1.144318;-0.028168
75;0.146820;1.104935;-0.063339
76;0.141190;0.958374;-0.124420
77;0.159210;0.912796;-0.060272
78;0.076462;1.015320;0.060898
79;0.156311;1.196259;0.075485
80;0.207092;1.250183;-0.067963
81;0.303925;1.295151;-0.213440
82;0.248795;1.312943;-0.255508
83;0.218277;1.227646;-0.192993
84;-0.005112;1.213638;0.004272
85;-0.054123;1.166641;-0.048737
86;-0.057816;1.124252;0.041809
87;0.002747;0.795395;-0.121567
88;0.259064;0.921860;-0.109314
89;0.400726;0.950623;-0.046127
90;0.164291;1.033417;-0.037125
91;-0.161255;0.719345;-0.025085
92;-0.130676;0.479294;-0.166077
93;0.042526;0.465881;-0.360992
94;0.109894;0.559723;-0.322739
95;0.337128;0.802795;-0.519516
96;0.676239;0.898254;-0.664261
97;0.801590;1.312790;-0.684464
98;0.555084;1.149704;-0.536484
99;0.548065;1.263245;-0.031815
