index;x;y;z
0;0.096420;0.943542;-0.314743
1;0.092239;0.937531;-0.309189
2;0.079575;0.942581;-0.315933
3;0.064819;0.926483;-0.317245
4;0.069702;0.932663;-0.335800
5;0.056030;0.915726;-0.319931
6;0.080505;0.903732;-0.342285
7;0.103683;0.921066;-0.345428
8;0.070969;0.961639;-0.315918
9;0.114471;0.878128;-0.355194
10;0.186539;0.899445;-0.369858
11;0.212646;0.972168;-0.408493
12;0.241745;0.950699;-0.353821
13;0.156342;0.782318;-0.290329
14;0.167236;0.781174;-0.233597
15;0.123352;1.037109;-0.397995
16;0.063446;0.781113;-0.280167
17;0.080261;0.728867;-0.243286
18;0.160614;0.953613;-0.297165
19;0.192566;0.786896;-0.234451
20;0.170258;0.858215;-0.204483
21;0.240204;0.942139;-0.309204
22;0.174789;1.168945;-0.302490
23;0.123474;1.084747;-0.320816
24;0.295471;1.011536;-0.309021
25;0.230194;1.023926;-0.310059
26;0.091034;0.877426;-0.248688
27;0.095276;0.861038;-0.300598
28;-0.138046;1.058228;-0.328415
29;-0.083389;1.096329;0.085098
30;-0.138763;0.874374;0.002914
31;-0.152557;0.965897;0.061203
32;-0.137909;1.020569;0.139465
33;-0.268936;0.875504;-0.030304
34;-0.091629;0.980164;0.034027
35;-0.102219;1.011032;-0.067261
36;-0.230148;1.035339;0.030090
37;-0.214340;1.140884;-0.037430
38;-0.242737;1.020737;0.005493
39;-0.278580;0.803497;0.079788
40;-0.204361;0.816559;0.026703
41;-0.219589;0.978043;0.116440
42;-0.100647;1.008469;0.110611
43;-0.077255;1.127686;0.106461
44;-0.106567;1.067642;0.051819
45;0.113815;1.177399;0.065125
46;0.219955;1.276352;-0.094727
47;0.017776;1.359879;-0.076492
48;-0.473679;1.318893;-0.051300
49;-0.754074;1.236176;0.054214
50;-0.511124;1.294479;-0.052490
51;-0.159744;1.301819;0.005325
52;-0.189667;1.053543;-0.109253
53;-0.306808;0.761536;-0.048294
54;-0.246338;0.620163;-0.027298
55;-0.292648;0.563980;0.049011
56;-0.261185;0.405701;0.059265
57;-0.216568;0.414963;-0.036438
58;-0.127243;0.658203;-0.311218
59;0.142807;1.008179;-0.467407
60;0.371445;1.479309;-0.560944
61;0.192429;1.741989;-0.609818
62;-0.101028;0.453995;-0.214066
63;-1.072189;0.841492;-0.330826
64;0.249512;1.469284;0.094009
65;-0.150589;1.008057;0.121490
66;-0.205811;0.382401;0.267960
67;-0.307465;1.388550;0.011765
68;-0.234741;0.878769;0.078323
69;-0.295349;0.719025;-0.018784
70;-0.072739;0.902237;0.013016
71;-0.086212;0.918350;0.072281
72;-0.224503;0.889954;-0.016083
73;-0.268845;0.988831;0.034882
74;-0.223083;0.943390;0.012634
75;-0.109680;1.120804;0.102402
76;0.091476;0.978409;0.116653
77;0.096344;0.949173;0.162201
78;0.014023;1.021210;-0.007217
79;0.097122;1.150223;-0.019730
80;0.008255;1.209824;-0.073990
81;-0.301743;1.307709;-0.173172
82;-0.973297;1.665375;-0.024109
83;-0.588028;1.436844;-0.135223
84;-0.106552;1.164154;-0.324127
85;-0.106842;1.014053;-0.185837
86;-0.440109;0.736206;-0.163071
87;-0.256805;0.727615;-0.058533
88;-0.142288;0.522308;0.107437
89;-0.342300;0.421127;0.035339
90;-0.270996;0.408859;-0.104309
91;-0.067886;0.582565;-0.245224
92;0.215973;0.877365;-0.300995
93;0.389832;1.338196;-0.494690
94;-0.052994;1.938965;-1.075592
95;-0.054443;0.711853;-0.062653
96;-0.940994;0.992874;-0.611298
97;-0.094147;1.492126;0.064758
98;-0.160278;0.638367;0.187195
99;-0.181793;0.550003;0.284180
100;-0.266174;1.506104;-0.062424
101;-0.188141;0.735962;0.180527
102;-0.265625;0.723953;0.014526
103;-0.120422;1.010345;0.005768
104;-0.119949;0.942062;0.080948
105;-0.168808;0.931747;0.058731
106;-0.167526;0.843613;0.061661
107;-0.163483;1.066727;0.071304
108;-0.195892;0.929184;0.017776
109;-0.079910;1.046295;0.091187
110;0.026108;0.945847;0.233322
111;-0.034195;0.976547;0.119064
112;0.024078;1.199722;0.010376
113;0.130920;1.300705;-0.022430
114;-0.305878;1.530014;-0.224838
115;-0.715546;1.276962;0.086609
116;-0.573883;1.469803;-0.046844
117;-0.191742;1.188019;-0.183792
118;-0.078445;1.098007;-0.139114
119;-0.298538;0.864243;-0.072647
120;-0.309052;0.667114;-0.015930
121;-0.263855;0.550934;0.006714
122;-0.271484;0.505249;0.051804
123;-0.300598;0.377136;-0.027039
124;-0.153320;0.471786;-0.144989
125;-0.064224;0.839508;-0.456100
126;0.346039;1.156021;-0.460297
127;0.230240;1.678741;-0.697754
128;0.021423;1.250198;-0.471771
129;-0.541748;0.762558;-0.357361
130;-0.682373;1.420090;-0.518250
131;0.182999;1.366058;0.444275
132;-0.365662;0.370773;0.086273
133;-0.273438;1.207245;0.087143
134;-0.197220;1.103775;0.021881
135;-0.294312;0.680939;0.092484
136;-0.084747;0.931137;0.072144
137;-0.099899;0.997498;0.040710
138;-0.147552;0.912491;0.040726
139;-0.132416;0.895630;0.034882
