index;x;y;z
0;0.248337;-0.300034;-0.795654
1;0.298508;-0.266449;-0.851074
2;0.268326;-0.337479;-0.836899
3;0.252823;-0.331573;-0.763016
4;0.361053;-0.320267;-0.877121
5;0.498337;-0.548416;-0.703125
6;0.583374;-0.542496;-0.662369
7;0.405884;-0.247849;-0.953018
8;0.351761;-0.381638;-0.812912
9;0.808792;-0.491974;-0.893616
10;0.626938;-0.318390;-0.811447
11;0.476562;-0.389359;-0.944351
12;0.602768;-0.458054;-0.770340
13;0.553696;-0.727051;-1.281067
14;-0.151642;-0.360428;-0.420166
15;0.982224;-0.802170;-0.725891
16;0.544281;-0.514572;-0.849014
17;0.312180;-0.321121;-0.727478
18;0.384674;-0.232437;-0.420151
19;0.464523;-0.281937;-0.723419
20;0.251434;0.069641;-0.782211
21;0.119797;0.023926;-0.843597
22;0.314224;-0.206543;-0.821747
23;0.502899;-0.048965;-0.512558
24;0.346268;-0.020447;-0.660965
25;0.265335;0.087921;-0.875015
26;0.548035;0.134796;-1.032837
27;0.996429;0.293060;-0.965744
28;0.860474;0.342758;-0.803955
29;1.053787;0.399048;-0.457520
30;1.600204;0.344818;-0.484299
31;1.551468;0.354340;-0.757217
32;0.977829;0.323166;-0.679398
33;1.055771;0.164658;-0.775070
34;0.782211;0.167694;-0.661423
35;0.602249;0.223221;-0.402222
36;0.876770;0.297226;-0.271790
37;0.817123;0.445923;-0.024338
38;0.940170;0.454742;0.091995
39;0.876068;0.401123;-0.308411
40;0.823288;0.458130;-0.016495
41;0.608795;0.576019;-0.363754
42;0.853668;0.487259;0.023834
43;0.857788;0.414047;0.050186
44;0.926788;0.340546;0.052811
45;0.699265;0.242599;-0.035400
46;0.883728;0.392090;0.065933
47;1.061401;0.436691;0.113510
48;0.756332;0.488052;0.102814
49;0.908691;0.385513;-0.001404
50;0.876846;0.521683;-0.024277
51;0.659653;0.625595;0.117813
52;0.362503;0.878708;0.116089
53;0.334305;0.843185;0.027466
54;1.394852;0.479050;0.455109
55;0.534393;0.584503;0.221008
56;0.647186;0.801849;0.063751
57;0.752777;0.442322;0.506592
58;0.341583;0.048386;-0.150589
59;0.168945;1.269791;0.386261
60;0.377182;1.488266;-0.160446
61;0.573868;1.003448;0.025513
62;0.327042;0.829437;0.111496
63;0.549973;0.476807;0.345154
64;0.376144;1.292740;-0.308487
65;0.175934;1.220398;0.037384
66;0.294525;1.025665;0.004807
67;0.249786;0.991394;0.024902
68;0.292725;1.025650;-0.012909
69;0.114777;1.023453;0.006042
70;0.040527;1.098831;0.031006
71;-0.062439;0.124817;0.024246
72;0.017944;0.896240;-0.026611
73;0.023773;0.619965;0.190399
74;0.128159;1.568069;-0.036270
75;-0.143921;1.105545;-0.141663
76;-0.044479;0.339432;-0.083145
77;-0.034042;1.272263;-0.096237
78;0.909576;1.288742;0.108963
79;-0.408112;1.249954;-0.137039
80;0.033234;0.729294;-0.095383
81;-0.105484;0.811188;0.145538
82;-0.223587;0.900421;0.117661
83;-0.017548;1.356216;0.109039
84;-0.132614;1.094681;0.009232
85;-0.004181;1.056244;0.084579
86;-0.049194;0.733368;0.022461
87;-0.028809;1.017120;0.097275
88;0.019974;0.855209;-0.013809
89;0.003006;0.869019;0.040222
90;-0.033951;0.934418;0.013428
91;-0.064789;0.942215;-0.045074
92;0.008743;0.939392;-0.059982
93;-0.027191;1.042816;-0.136032
94;0.172760;1.100906;-0.184189
95;0.252396;1.221405;-0.084808
96;0.157944;1.187759;-0.053619
97;-0.107864;1.509262;-0.379807
98;-0.216537;1.336639;0.092926
99;-0.208801;1.352325;0.080322
100;-0.293030;1.129013;-0.082047
101;-0.176025;1.138199;0.017853
102;-0.177948;1.025040;0.003052
103;-0.293701;0.815857;-0.055008
104;-0.209381;0.771698;-0.042221
105;-0.050797;0.718536;-0.047424
106;-0.009705;0.580170;-0.076324
107;0.002518;0.527802;-0.095291
108;-0.008835;0.620483;-0.142273
109;0.119156;0.640305;-0.320892
110;0.173752;0.721802;-0.454361
111;0.226852;0.973846;-0.729996
112;0.109985;1.173492;-0.945938
113;0.115036;0.778885;-0.770508
114;-0.394058;1.373596;0.075043
115;-0.307907;2.265884;-0.304504
116;-0.601974;0.295197;-0.117218
117;-0.146271;0.964890;0.439529
118;0.457855;1.671921;-0.231247
119;0.302841;0.953827;0.007965
120;-0.301392;0.887604;-0.082428
121;-0.300064;0.910370;-0.169739
122;-0.024338;0.739731;0.007980
123;-0.063751;0.702225;0.012817
124;0.059586;0.694336;-0.009598
125;0.009476;0.752991;0.003586
126;-0.050888;0.936874;-0.035141
127;-0.022278;0.918884;-0.109406
128;0.066452;1.296127;-0.134048
129;0.293808;1.312408;-0.053818
130;0.352570;1.391510;-0.195312
131;0.178558;1.289597;-0.028320
132;-0.010345;1.379150;-0.377853
133;-0.324356;1.294220;-0.045181
