index;x;y;z
0;0.053696;-0.202454;-1.015579
1;0.165161;-0.210419;-1.054672
2;0.138641;-0.225540;-1.032867
3;0.082947;-0.242493;-0.961761
4;0.121094;-0.256241;-0.915482
5;0.116409;-0.248032;-0.968658
6;0.171478;-0.241577;-1.065186
7;0.176956;-0.215103;-0.911575
8;0.038116;-0.288666;-0.736145
9;0.110336;-0.272141;-1.058258
10;0.188324;-0.246185;-0.985123
11;0.175690;-0.284927;-0.840973
12;0.164200;-0.345047;-0.800049
13;0.270035;-0.263184;-0.875046
14;0.214798;-0.281601;-0.963333
15;0.149384;-0.278168;-0.912903
16;0.121780;-0.319717;-0.847076
17;0.191635;-0.373001;-0.788956
18;0.154633;-0.337830;-0.845413
19;0.176041;-0.242126;-0.940170
20;0.290634;-0.193314;-0.907486
21;0.344666;-0.173660;-1.257568
22;0.339691;-0.373032;-0.850281
23;0.391647;-0.257095;-1.035812
24;0.574646;-0.286163;-1.117661
25;0.583389;-0.255524;-0.887573
26;0.586929;-0.304367;-0.762589
27;0.457565;-0.170532;-0.954636
28;0.608337;-0.166565;-0.972870
29;0.618896;-0.195099;-0.798828
30;0.568848;-0.216370;-0.783951
31;0.562012;-0.307053;-0.800339
32;0.375381;-0.181549;-0.789017
33;0.379501;-0.154785;-0.703796
34;0.036362;-0.059998;-0.462830
35;-0.045761;0.034119;-0.484726
36;0.191742;-0.005585;-0.498062
37;0.194687;0.004364;-0.291016
38;0.364716;-0.014725;-0.434723
39;0.877090;-0.046677;-0.665039
40;0.938705;-0.007263;-0.519928
41;0.827408;0.157043;-0.360886
42;0.914795;0.360306;-0.656708
43;1.288971;0.512314;-1.179581
44;1.159592;0.573318;-1.223862
45;0.692856;0.308090;0.111267
46;1.410141;0.476685;-0.795273
47;1.446625;0.441071;-0.583298
48;0.921387;0.583420;-0.247391
49;0.775391;0.608200;-0.091812
50;0.822495;0.505463;-0.332153
51;0.880859;0.430298;-0.294250
52;0.685699;0.461136;-0.290359
53;0.850494;0.492081;-0.161285
54;0.824127;0.536804;-0.108887
55;0.291733;0.652588;-0.237198
56;0.661896;0.711639;-0.321472
57;0.827011;0.823669;-0.150375
58;1.050186;0.802597;-0.026703
59;1.213272;0.894135;0.518524
60;0.658096;0.730179;0.198380
61;0.859772;0.570541;-0.039764
62;0.995834;0.503876;0.108032
63;1.022507;0.583038;0.210617
64;0.505249;0.509460;-1.218811
65;0.477554;0.660217;-0.192093
66;0.402618;0.806442;-0.099976
67;0.354919;0.695419;0.002213
68;0.244553;0.522385;-0.160828
69;0.145294;0.841461;-0.024170
70;1.600769;0.805801;0.161331
71;0.585266;0.686523;-0.266449
72;0.396790;0.452591;-0.450241
73;0.641663;0.780548;-0.056335
74;0.585403;0.375229;-0.218811
75;0.586151;0.469589;-0.310226
76;0.717575;1.120926;-0.298462
77;0.554596;0.912033;-0.351364
78;0.221207;1.004471;0.049149
79;0.435318;1.515625;-1.024872
80;-0.238876;1.113556;0.060562
81;0.329285;0.850403;0.322464
82;0.248138;1.131210;-0.074066
83;0.190826;0.851562;-0.028854
84;0.284088;0.198044;0.095276
85;0.211670;0.916565;-0.129959
86;0.194092;0.899185;-0.101303
87;0.170181;0.729050;0.042740
88;0.090958;0.639313;-0.117722
89;0.186218;0.371399;-0.036560
90;0.053894;0.998672;0.000534
91;0.220566;3.235229;0.271729
92;-0.107346;1.272003;-0.057129
93;-0.035873;0.912384;-0.158447
94;0.090851;0.973099;-0.064789
95;0.261093;0.891769;-0.044449
96;0.159790;0.868225;-0.075439
97;0.204147;0.930038;-0.093140
98;0.241333;1.032104;0.040985
99;-0.063065;1.078064;-0.150620
100;-0.075272;1.412750;-0.260162
101;0.155533;1.275070;-0.194855
102;-0.226578;1.315643;-0.474655
103;-0.301819;1.162674;-0.156296
104;-0.003098;1.187469;-0.116745
105;-0.028244;0.989975;-0.246811
106;-0.019012;0.870972;-0.055740
107;-0.052338;0.790070;-0.246918
108;0.037048;0.722336;-0.212479
109;-0.025269;0.633087;-0.238663
110;0.069199;0.751938;-0.307312
111;0.131287;0.740738;-0.388947
112;0.022034;0.718933;-0.451553
113;-0.033051;0.793839;-0.509247
114;-0.088882;0.853790;-0.534164
115;-0.009888;0.931992;-0.600571
116;0.126144;0.917053;-0.527634
117;-0.005203;0.958176;-0.630981
118;-0.221771;2.146820;-0.676697
119;-0.041901;0.644211;0.006744
120;-0.995346;-0.221558;-0.136169
121;0.756638;1.326385;0.406082
122;0.355759;1.262909;-0.471695
123;0.010010;0.778442;-0.198166
124;-0.141220;0.914261;-0.037201
125;0.110214;1.078583;-0.083572
126;0.039948;1.032822;-0.133499
127;0.095261;0.966217;0.028946
128;0.141556;1.016937;-0.037476
129;0.057007;1.023666;-0.035995
130;-0.046692;1.006577;-0.045700
131;-0.007721;1.026108;-0.081268
132;0.111984;0.975555;-0.156219
133;0.265060;0.943863;-0.209961
134;0.176575;1.100174;-0.336227
135;0.124542;1.027313;-0.514526
136;0.350891;1.361694;-0.165985
137;-0.024796;1.263077;-0.428818
138;-0.232300;1.089401;-0.077148
139;-0.049850;1.568680;0.155670
140;0.061371;1.381027;-0.344376
141;-0.049789;1.202499;-0.099854
142;-0.138733;1.054367;-0.086349
143;-0.150009;0.818924;-0.130447
144;-0.112610;0.726364;-0.075775
145;-0.192459;0.500000;0.013763
146;-0.154572;0.388428;-0.008057
147;0.011337;0.466125;-0.191803
148;0.142792;0.655991;-0.599792
149;0.275955;1.157700;-0.931305
150;0.062378;1.183365;-0.760101
151;-0.065933;0.767075;-0.546921
152;0.035645;0.584320;-0.381302
153;-0.764816;1.968430;-0.580414
154;0.327209;1.327255;-0.291245
155;-0.559555;0.262100;0.324661
156;0.429901;1.408554;-0.010834
157;0.485687;1.257156;-0.006241
158;-0.252457;0.817032;-0.072800
159;-0.242432;0.908600;-0.028137
160;0.072723;0.924469;-0.049713
161;0.258331;0.873062;0.023987
162;0.213913;0.865234;0.008987
163;0.110336;0.993576;-0.105942
164;0.013199;0.996414;-0.139023
165;0.295837;1.071182;-0.186066
166;0.214157;1.053558;-0.004684
167;0.406891;1.205109;-0.021530
168;0.189133;1.165634;-0.330643
169;0.286942;1.131058;-0.370804
170;0.568420;1.366669;-0.192627
171;-0.122513;1.373367;-0.420883
172;-0.634186;1.412949;0.184128
173;-0.034882;1.359711;-0.008896
174;0.485733;1.422470;-0.296188
175;0.056992;1.095886;0.145874
176;-0.244751;0.794647;-0.051132
177;-0.088181;0.568054;-0.044876
