index;x;y;z
0;0.070648;0.736359;-0.444534
1;0.090561;0.718811;-0.516388
2;0.149597;0.768829;-0.486359
3;0.177643;0.851196;-0.502762
4;0.183975;0.834412;-0.513367
5;0.182632;0.667068;-0.486725
6;0.109619;0.888321;-0.328110
7;0.141449;1.309296;-0.549896
8;0.295135;1.017654;-0.414749
9;0.067230;0.820206;-0.047531
10;0.349106;0.882629;-0.086319
11;0.169418;0.724091;-0.226273
12;0.115204;0.808426;-0.124619
13;0.255508;0.379929;0.087311
14;0.097885;1.556793;-0.309769
15;0.213089;1.159531;-0.159088
16;0.169006;0.699615;-0.082764
17;0.158997;1.034576;-0.047424
18;0.139862;0.886536;0.033447
19;0.044418;1.019211;-0.088013
20;0.109756;1.107193;-0.050598
21;0.067032;1.041245;-0.047241
22;0.002899;1.226288;-0.131653
23;0.129913;1.181473;-0.093460
24;-0.011246;1.196579;0.058029
25;-0.110275;0.878540;-0.214584
26;0.193405;1.120605;0.062164
27;0.122299;1.201263;-0.055023
28;0.277786;1.351761;-0.115097
29;0.184525;1.157837;-0.229462
30;-0.058487;1.106934;-0.234726
31;-0.139694;1.060989;-0.176727
32;-0.026718;1.113647;-0.203781
33;0.025787;1.166367;0.034653
34;0.150955;0.930634;-0.053741
35;0.119507;0.796997;-0.295334
36;0.127518;0.866440;-0.271362
37;0.067139;0.879379;-0.158905
38;-0.006622;0.813431;-0.202164
39;-0.092194;0.840576;-0.274338
40;-0.020584;0.783844;-0.354507
41;0.049652;0.764206;-0.388565
42;0.129562;0.768738;-0.404251
43;0.114197;0.775040;-0.420532
44;0.082901;0.838333;-0.514847
45;0.178223;0.894791;-0.484451
46;0.207352;0.847382;-0.357330
47;0.186737;0.833817;-0.520554
48;0.310638;0.856979;-0.573425
49;0.221710;1.143295;-0.577530
50;-0.300201;1.577850;-0.350693
51;-0.446823;1.208847;-0.287140
52;-0.177658;0.116333;-0.005890
53;0.118393;1.066086;0.128357
54;0.225327;1.469482;-0.258179
55;-0.025940;0.755844;-0.089005
56;-0.009415;0.793427;-0.097824
57;0.209549;0.992783;-0.093079
58;0.228577;0.948990;-0.082901
59;0.242950;0.923813;-0.061157
60;0.265564;0.926163;-0.102219
61;0.184402;0.890289;-0.109253
62;0.148834;0.959488;-0.053650
63;0.094025;0.987122;-0.088699
64;0.087418;0.971558;-0.086777
65;0.029037;1.198914;-0.129303
66;0.362976;1.286713;-0.175873
67;0.401001;1.299622;-0.211456
68;0.463257;1.373550;-0.213547
69;0.253098;1.342621;-0.207077
70;-0.306946;1.214020;-0.234970
71;-0.565140;1.350266;0.053848
72;0.033401;1.046570;0.032776
73;-0.016159;0.990784;-0.252853
74;0.014221;0.868973;-0.120956
75;-0.068237;0.707550;-0.189377
76;-0.195648;0.618637;-0.140778
77;-0.229355;0.465698;-0.042694
78;-0.082016;0.350342;-0.109924
79;0.150513;0.427307;-0.374680
80;0.288040;0.720184;-0.738541
81;0.531860;1.215408;-0.926315
82;0.348312;1.387863;-0.894592
83;0.141693;0.927261;-0.781754
84;-0.482849;0.973892;-0.310440
85;-0.720169;0.922791;-0.488190
86;0.158997;1.978195;0.082840
87;0.034500;0.376205;0.270157
88;-0.245956;0.690918;0.104965
89;0.150055;1.302917;-0.080154
90;0.003448;1.024857;-0.109863
91;-0.069702;0.794037;-0.054855
92;0.234268;0.871536;-0.071320
93;0.245300;0.917328;-0.124634
94;0.149338;1.028976;-0.088516
95;0.126068;0.876175;-0.109055
96;0.130722;0.944763;-0.113083
97;0.171677;0.882645;-0.148346
98;0.006592;1.152069;-0.146027
99;0.346298;1.265762;-0.168533
100;0.454697;1.353653;-0.112259
101;0.349915;1.358749;-0.281052
102;0.332352;1.414368;-0.189178
103;-0.274307;1.210785;-0.179840
104;-0.617325;1.461746;-0.050339
105;0.023880;1.140366;0.126160
106;0.098190;1.092819;-0.239639
107;0.095520;0.899841;-0.122559
108;-0.034409;0.564896;-0.090698
109;-0.134521;0.432343;-0.086975
110;-0.216400;0.414215;0.021957
111;-0.167343;0.383224;0.044708
112;-0.054276;0.345840;-0.237427
113;0.190781;0.751190;-0.795059
114;0.673126;1.596939;-1.085632
115;0.259201;1.399323;-0.844101
116;0.009720;0.882126;-0.747467
117;-0.061203;0.966217;-0.199036
118;-0.713989;1.692673;-0.487839
119;0.151199;0.679138;0.112320
120;-0.250870;0.317856;0.260483
121;-0.097488;1.259247;0.015320
122;0.185776;1.350372;-0.043198
123;-0.188873;0.859619;-0.102142
124;0.033722;0.864685;-0.059036
125;0.234802;0.766266;-0.059204
126;0.151520;0.836090;-0.073837
127;0.084473;1.022507;-0.082001
128;0.097549;0.997375;-0.079514
129;0.097839;0.969391;-0.152313
130;0.223038;1.056473;-0.243500
131;0.221725;1.082321;-0.214401
132;0.439285;1.365707;-0.129852
133;0.140991;1.408081;-0.189407
134;0.172241;1.332764;-0.114288
135;-0.052383;1.160965;-0.179596
136;-0.449600;1.447708;-0.077362
137;-0.233154;1.442856;0.293777
138;-0.026245;1.205490;-0.267365
139;0.063049;1.093597;-0.135468
140;0.070831;0.759415;-0.080963
141;-0.095306;0.532150;-0.048462
142;-0.171600;0.419952;0.022827
