index;x;y;z
0;-0.027466;0.143387;-0.979935
1;-0.073990;0.038025;-1.029190
2;-0.097092;0.055389;-0.934967
3;0.030212;0.201431;-0.946167
4;-0.073883;0.189835;-1.058273
5;0.078934;0.052704;-0.890076
6;-0.181992;0.036453;-0.783722
7;0.076477;-0.169128;-0.917587
8;0.130920;-0.013962;-0.692719
9;0.033768;0.192215;-0.985992
10;0.062256;0.267487;-1.082184
11;0.236359;0.312256;-1.066177
12;0.235352;0.451736;-0.550674
13;-0.049591;0.532532;-0.828094
14;0.200577;0.483521;-0.833130
15;0.378433;0.575455;-0.439499
16;0.431259;0.650604;-0.727676
17;0.457977;0.697632;-0.806061
18;0.535065;0.721924;-0.500916
19;0.514557;0.874710;-0.462738
20;0.684280;0.898636;-0.577835
21;0.523682;0.847672;-1.367111
22;0.461761;0.828613;-0.343674
23;0.423920;0.725830;-0.295059
24;0.125687;0.732956;-0.510788
25;0.519089;0.971802;-0.048737
26;0.571762;1.022873;-0.182571
27;0.545654;0.858643;-0.534119
28;0.253815;0.780151;-0.345642
29;0.453598;1.276520;-0.349777
30;0.095490;0.681137;-0.246735
31;0.551056;0.577606;-0.377884
32;0.316940;0.243011;-0.441666
33;0.401978;1.094269;-0.344376
34;0.894989;1.098206;0.116989
35;0.622147;0.707443;-0.308151
36;0.349777;0.950638;-0.301590
37;0.143341;0.810715;-0.223358
38;0.263550;1.098663;-0.285339
39;0.345627;1.341858;-0.249847
40;0.308380;1.184250;-0.337494
41;0.468918;1.119629;-0.240860
42;0.272598;0.979691;-0.292587
43;0.101974;1.040787;-0.321259
44;0.168045;0.986404;-0.291824
45;0.131134;0.888123;-0.183685
46;0.184616;0.927002;-0.226395
47;-0.083740;0.218552;-0.391815
48;0.184647;0.230896;-0.277908
49;0.148773;1.124573;-0.297256
50;0.091293;0.796021;-0.284912
51;0.061981;0.741913;-0.276825
52;-0.021698;0.729431;-0.318542
53;0.054001;1.091232;-0.404099
54;-0.012085;0.827225;-0.192398
55;0.044556;0.989319;-0.413574
56;0.063644;1.051971;-0.122437
57;0.003098;1.235504;-0.310638
58;-0.030869;1.387268;-0.028824
59;-0.375504;1.409836;-0.224823
60;-0.208511;1.010910;0.043762
61;-0.145981;1.026199;0.150528
62;0.002029;0.821106;0.004166
63;-0.078186;1.049576;-0.075897
64;-0.032547;0.981934;-0.023987
65;-0.015945;0.962097;-0.015839
66;0.131729;0.984116;0.012024
67;0.080566;1.006577;0.081833
68;-0.121780;0.926483;0.130905
69;-0.152481;0.977966;0.077072
70;-0.110657;0.972061;0.083878
71;-0.023758;0.959534;0.091995
72;-0.085632;0.860062;0.127686
73;-0.000229;1.008621;0.140793
74;-0.018539;1.142548;0.126709
75;-0.087021;1.102295;0.126144
76;0.071884;1.133575;0.122925
77;-0.005295;1.345657;-0.010544
78;0.073914;1.413376;-0.101959
79;0.212051;1.454865;-0.150818
80;-0.228027;0.963623;-0.129120
81;-0.498611;1.090775;0.124908
82;-0.293533;1.421387;0.321259
83;-0.122681;1.256500;-0.004257
84;-0.199432;1.143646;-0.081207
85;-0.161987;1.015274;-0.052322
86;-0.078171;0.727478;-0.109818
87;-0.063538;0.538544;0.000198
88;-0.166763;0.296188;0.066574
89;-0.004379;0.185699;0.016220
90;0.094925;0.232773;-0.406158
91;0.291855;0.778702;-1.087753
92;-0.038467;1.671143;-1.086502
93;-0.116135;1.592178;-0.904495
94;-0.312363;0.750565;-0.403442
95;-0.309586;1.378174;-1.127075
96;-0.083023;0.645111;1.378021
97;-0.440887;0.164932;-0.594681
98;0.176270;1.631042;0.094757
99;-0.167984;1.044556;0.112091
100;-0.321350;0.348282;0.094101
101;0.235840;0.805771;-0.032944
102;0.268188;1.166397;-0.102768
103;0.180145;0.707108;-0.040802
104;-0.111115;0.775345;0.369385
105;-0.229034;1.295959;-0.067734
106;-0.105560;1.261337;-0.175079
107;0.183899;1.547714;-0.159027
108;0.857910;1.523438;0.045059
109;0.049881;1.750015;-0.208496
110;0.220291;1.310944;-0.353287
111;-0.116516;1.178009;-0.161163
112;-0.892319;2.353882;0.811432
113;-0.741394;1.793472;0.048737
114;-0.473511;1.251434;0.209167
115;0.296890;0.710098;0.228897
116;0.184189;0.415909;0.167740
117;-0.110184;0.156937;0.320801
118;-0.417160;-0.180649;0.528076
119;-0.189575;-0.416580;0.340439
120;0.048096;0.021622;-1.168213
121;0.281326;2.286728;-1.772629
122;0.187042;3.166153;-1.227310
123;-0.591583;0.419281;0.146469
124;-0.607788;1.288879;-0.561905
125;-0.159470;0.659943;1.327881
126;-0.029663;0.405365;1.135391
127;-0.183563;1.431473;0.161728
128;0.110535;1.071594;0.076736
129;-0.065933;0.595093;-0.104767
130;-0.061813;0.698776;0.026688
131;0.099945;0.704620;0.115829
132;-0.079681;0.878815;0.185074
133;-0.145248;1.048904;0.066055
134;-0.292618;1.368347;-0.145737
135;0.287842;1.636703;-0.014664
136;1.411987;1.810776;-0.067963
137;0.621368;1.985718;-0.493561
138;0.178848;1.493271;-0.315506
139;-0.443115;1.635284;0.228394
140;-0.552216;2.164124;0.567245
141;-1.232742;1.725250;0.379898
142;-0.468307;0.584152;0.571213
143;0.545883;0.355713;0.210312
144;0.324829;0.032288;0.178925
145;-0.255615;-0.296722;0.542587
146;-0.492432;-0.548752;0.866577
147;-0.117111;0.159454;-1.517349
148;0.386551;3.782730;-0.672348
149;0.391708;1.427597;-1.507309
150;-0.953934;-0.077148;0.975937
151;-1.458084;1.482925;-1.110504
152;1.038940;1.342880;1.714386
153;-0.260895;0.222595;1.075806
154;-0.311783;1.176804;0.281342
155;0.267532;1.321533;-0.101410
156;-0.117249;0.732742;0.076736
157;-0.025894;0.523422;0.246445
158;-0.058228;0.956909;-0.080719
159;0.198624;1.064590;-0.059814
160;0.142807;1.282379;-0.033249
161;-0.151077;1.614761;-0.358139
162;0.820831;1.500763;-0.030701
163;0.448822;1.652145;-0.444321
164;0.531326;1.178543;-0.162033
165;-0.119644;1.643784;-0.486740
166;-0.648239;2.397690;1.269485
167;-0.506180;1.893387;-0.179764
168;-0.560867;1.366684;0.387421
169;0.076599;0.643402;0.257065
170;0.328674;0.265274;0.246353
171;-0.023911;-0.142776;0.372543
172;-0.519531;-0.376602;0.488831
173;-0.473999;-0.506622;0.653397
174;0.387161;0.597412;-2.599838
175;0.414032;4.201996;-0.343002
176;-0.083496;0.711914;-1.188553
177;-1.177032;-0.242157;2.116714
178;-0.719894;2.797607;-1.002014
179;1.062866;0.749725;1.261795
180;-0.516815;0.788696;-0.031067
181;-0.272568;1.031570;0.062958
182;-0.077881;0.935501;-0.074356
183;-0.013016;0.803879;-0.035995
184;-0.002747;0.617096;0.213730
185;-0.090286;0.757767;-0.100082
186;0.300171;1.337280;0.042542
187;0.059616;1.245773;-0.379852
188;0.132904;1.660812;-0.253067
189;1.518265;1.655762;-0.165558
190;0.508743;1.703644;-0.149887
191;-0.013031;1.435562;-0.363022
192;-0.332779;2.113983;1.006561
193;-0.151489;1.745880;0.285049
194;-0.826569;1.778412;0.495483
195;-0.155685;0.672531;0.410568
196;0.462326;0.325104;0.302505
197;0.150391;-0.029434;0.263474
198;-0.459976;-0.294144;0.533234
