index;x;y;z
0;0.061859;-0.115845;-1.066193
1;0.103363;-0.170700;-0.957840
2;0.082748;-0.158813;-0.965607
3;0.052658;-0.136688;-0.966431
4;0.093323;-0.154358;-0.977982
5;0.059799;-0.153534;-0.941528
6;0.097931;-0.181870;-0.945557
7;0.146683;-0.172546;-0.988480
8;0.104080;-0.083847;-1.039581
9;0.227524;-0.219635;-0.966171
10;0.110168;-0.128479;-1.080627
11;0.174805;-0.098358;-0.946609
12;0.220062;-0.154404;-0.974533
13;0.206757;-0.172424;-1.005722
14;0.103394;-0.093750;-0.900085
15;0.147247;-0.138138;-0.861755
16;0.276337;-0.170273;-0.982758
17;0.148682;-0.052795;-0.978271
18;0.119202;-0.039993;-1.005386
19;0.111282;-0.104095;-0.862427
20;0.355835;-0.116776;-0.914032
21;0.303635;-0.128235;-1.028320
22;0.026962;-0.038605;-0.777374
23;0.200882;0.066269;-0.819305
24;0.140411;0.075516;-0.795547
25;0.107803;0.249496;-0.764908
26;0.246964;0.230759;-0.748505
27;0.248657;0.336304;-0.771393
28;0.311752;0.539429;-0.507675
29;0.622665;0.441971;-0.892319
30;0.615280;0.528046;-0.875687
31;0.618851;0.648087;-0.691513
32;0.682205;0.567627;-0.868790
33;0.644638;0.722794;-0.872879
34;0.687927;0.477631;-0.791519
35;0.603348;0.850037;-0.898422
36;0.564438;0.704498;-0.697968
37;0.546112;0.827805;-0.735077
38;0.557220;0.745743;-0.613754
39;0.646149;0.752075;-0.771210
40;0.459473;0.874237;-0.596039
41;0.518677;0.930069;-0.478012
42;0.691620;1.021988;-0.547958
43;0.563675;1.084595;-0.592270
44;0.588806;1.119843;-0.091446
45;0.498062;0.929810;-0.572540
46;0.288391;0.636200;-0.544800
47;0.215668;0.712631;-0.399872
48;0.564209;0.579422;-0.415939
49;0.623489;0.647369;-0.219742
50;0.624695;0.720764;-0.098816
51;0.556931;0.491150;-0.532257
52;0.099106;0.647751;-0.595322
53;0.552277;0.695145;-0.304413
54;0.547119;0.714218;-0.060806
55;0.576080;0.663773;-0.275848
56;0.638031;0.671707;-0.292191
57;0.544815;0.724701;-0.141327
58;0.450851;0.700455;-0.250732
59;0.344025;0.756149;-0.224121
60;0.988739;1.006714;0.152512
61;0.629883;0.785095;-0.267807
62;0.529312;0.938339;-0.134048
63;0.536087;0.880066;-0.156357
64;0.410645;0.714630;-0.198578
65;0.511322;0.686020;-0.008240
66;0.437531;0.828445;-0.195969
67;0.363388;0.795975;-0.107376
68;0.390594;0.769379;-0.092484
69;0.402527;0.990921;-0.095871
70;0.375885;0.900208;-0.207733
71;0.231888;0.977676;-0.187286
72;0.166275;0.941025;-0.303207
73;0.579132;1.041779;-0.505524
74;0.282883;0.862244;-0.294754
75;0.314743;0.971085;-0.263382
76;0.274063;0.893036;-0.262650
77;0.274414;0.904861;-0.290314
78;0.281128;0.763382;-0.289993
79;0.201797;0.708099;-0.334198
80;0.118729;0.824463;-0.168365
81;0.018768;1.331009;-0.210709
82;0.026886;1.295639;0.039383
83;0.063431;0.939667;-0.363632
84;-0.009567;1.165329;-0.335175
85;-0.090012;1.103256;-0.398239
86;-0.151520;0.863251;-0.351059
87;-0.047852;0.904022;-0.417145
88;-0.031006;1.182022;-0.289551
89;0.115952;0.974625;-0.394287
90;-0.005005;0.944626;-0.366501
91;0.105576;0.985382;-0.274765
92;0.143494;0.815765;-0.292419
93;0.087204;0.905304;-0.319260
94;0.170837;0.900360;-0.313477
95;0.016098;0.908829;-0.325027
96;0.153778;0.792877;-0.287903
97;0.105103;0.972519;-0.299576
98;0.192596;0.845108;-0.325516
99;0.264114;0.832092;-0.303314
100;0.242935;0.882629;-0.333496
101;0.198608;0.869049;-0.357956
102;0.209106;0.890045;-0.336411
103;0.194778;0.884659;-0.322220
104;0.177231;0.907455;-0.323242
105;0.190643;0.950500;-0.336609
106;0.055328;1.007858;-0.400528
107;-0.038910;1.091263;-0.381821
108;0.124649;1.474701;-0.292328
109;0.259384;1.060226;0.083252
110;-0.402130;0.471008;-0.259277
111;-0.423752;0.785339;-0.178146
112;-0.009445;1.107437;-0.099625
113;-0.136963;1.001419;-0.042236
114;-0.149124;0.937592;0.212738
115;0.035141;0.906006;0.118454
116;0.043686;0.968384;0.030334
117;-0.032227;1.119797;0.035019
118;-0.135483;1.100113;-0.007217
119;-0.165482;1.022339;0.115555
120;-0.038681;0.946503;0.133667
121;0.040344;0.932510;0.123566
122;0.102051;0.902145;0.126083
123;0.127869;1.093292;-0.034714
124;0.134827;1.232971;0.086227
125;0.385544;0.931274;0.067932
126;0.248337;1.059326;-0.009506
127;0.119507;1.085556;-0.272049
128;0.417984;1.054947;-0.202332
129;0.625565;1.067001;-0.065720
130;0.531967;1.644714;-0.629120
131;-0.193878;1.700317;0.497208
132;-0.275146;1.673141;0.676468
133;0.356583;1.503540;-0.473282
134;0.435257;1.027710;-0.119492
135;0.195786;0.884155;0.095963
136;-0.196976;0.550369;0.292267
137;-0.358475;0.352997;0.083481
138;-0.268723;0.287033;0.076981
139;-0.011627;0.464355;-0.054718
140;0.279251;0.587479;-0.386200
141;0.952240;1.078186;-0.664352
142;0.902939;1.820831;-1.033859
143;0.311432;2.464691;-1.189331
144;-0.378113;0.188126;1.557785
145;-0.860153;-0.602570;-0.143982
146;-0.325775;2.064590;0.555283
147;0.733765;1.481476;-0.696381
148;-0.063248;0.708405;0.022873
149;-0.373337;0.917419;0.080276
150;0.370163;1.161346;0.236084
151;0.733932;1.004990;0.151978
152;0.381836;0.829285;-0.082443
153;-0.000214;0.877716;-0.047028
154;-0.181396;0.818359;0.099579
155;0.006561;0.870956;0.079788
156;0.348373;0.761047;-0.053818
157;0.455017;0.780777;-0.106506
158;0.680466;0.807693;0.205612
159;0.730240;0.814026;-0.615280
160;0.642731;1.484268;0.010376
161;0.164200;1.371277;-0.018570
162;-0.260910;2.201416;0.079224
163;-0.628250;2.791397;-0.391556
164;-0.042953;1.358688;0.235352
165;0.607132;1.264526;-0.381729
166;-0.090057;1.119553;0.047058
167;-0.250763;0.454285;0.162354
168;-0.587921;0.132492;0.353165
169;-0.362305;-0.000519;0.245651
170;-0.381500;0.072449;-0.015213
171;-0.142563;0.508575;-0.657578
172;1.453766;1.623047;-1.148560
173;0.763092;1.729355;-0.673325
174;-0.238678;1.615662;-0.420303
175;0.973633;1.533600;1.149826
176;-1.300491;-0.247360;0.015015
177;-0.870728;1.093597;0.590088
178;0.036346;1.812286;-0.327438
179;0.524521;1.137146;-0.024323
180;0.255661;0.952530;0.251358
181;0.261551;0.886002;0.182144
182;0.101974;0.858307;-0.069809
183;-0.052658;0.871689;0.131821
184;-0.099640;0.900208;0.054993
185;-0.002731;0.884583;0.160187
186;0.042450;1.026352;0.094147
187;0.117096;1.037155;0.007065
188;0.355347;1.141357;0.013672
189;0.788986;0.969467;0.371750
190;0.293289;1.185120;-0.070114
191;0.302902;1.324646;-0.114517
192;0.512268;1.523956;-0.537415
193;0.482910;0.909912;-0.180389
194;-0.160660;1.750809;-0.005142
195;-0.667526;1.830322;0.217850
196;-0.473602;1.224701;-0.147156
197;0.247452;0.878555;0.188263
198;0.316376;0.860336;0.078384
199;-0.067719;0.860596;-0.213577
200;-0.191422;0.580093;0.158249
201;-0.435394;0.313416;0.276596
202;-0.308975;0.241180;0.086166
203;-0.154434;0.481979;-0.481644
204;0.945801;1.444626;-1.027435
205;0.817886;1.419708;-0.915955
206;-0.192780;0.930481;-0.591125
207;0.084778;1.145233;-0.252823
208;0.175766;1.650360;-0.110931
209;-0.057419;0.432648;0.432159
210;-0.603134;0.378540;0.284637
211;-0.428024;1.423386;0.089386
212;0.196213;1.409927;-0.297928
213;0.383759;0.857040;0.227829
214;0.206192;1.033997;0.187698
215;0.248917;0.876266;-0.018448
216;0.067902;0.917175;-0.006577
217;-0.113632;0.940125;0.072449
218;-0.187744;0.848312;0.045792
219;-0.100250;0.924332;0.069519
220;0.136368;1.093079;0.093735
221;0.284302;0.991180;0.024261
222;0.345871;1.092850;0.027267
