index;x;y;z
0;-0.351013;0.940918;-0.040298
1;-0.338074;0.911591;0.045990
2;-0.371765;0.924393;0.052643
3;-0.363419;0.894684;-0.041718
4;-0.370453;0.860413;0.014282
5;-0.322540;1.012772;0.009109
6;-0.366287;0.925140;0.090164
7;-0.418137;0.887589;0.157593
8;-0.326599;0.924286;0.128296
9;-0.330551;0.916901;0.151016
10;-0.410477;0.909012;0.123322
11;-0.341660;0.914871;0.169113
12;-0.374847;0.898727;0.151276
13;-0.397934;0.837158;0.141556
14;-0.351944;0.853119;0.110321
15;-0.269623;0.953369;0.249847
16;-0.205658;1.150421;0.136475
17;-0.205246;0.920670;0.085388
18;-0.326401;0.879929;0.159286
19;-0.248856;0.916855;-0.000183
20;-0.401215;0.959961;-0.015198
21;-0.280411;0.990097;-0.024979
22;-0.274933;0.947922;-0.031265
23;-0.390793;0.944565;-0.005142
24;-0.271500;0.946213;0.022995
25;-0.262054;0.982452;0.009842
26;-0.361954;0.908997;0.093750
27;-0.348526;0.855652;-0.173019
28;-0.185593;0.961807;-0.030838
29;-0.071289;0.639236;0.019821
30;-0.271378;0.967148;0.004425
31;-0.293793;1.053452;0.164230
32;-0.232407;0.879776;0.048279
33;-0.214264;1.048492;-0.030014
34;-0.245468;1.059174;-0.002335
35;-0.192490;0.901779;-0.105927
36;-0.157455;1.162704;0.013794
37;-0.252823;1.117599;-0.116211
38;-0.211090;1.010620;-0.051407
39;-0.195755;0.830841;-0.012695
40;-0.025848;1.228622;-0.112534
41;-0.106598;1.267014;-0.063293
42;-0.114487;0.759384;-0.038925
43;-0.040726;0.960129;-0.057480
44;-0.062683;0.915833;-0.070389
45;-0.047043;0.962570;-0.109497
46;0.089676;0.576111;0.039703
47;-0.232071;1.108810;-0.046005
48;-0.074966;0.961624;-0.026352
49;-0.029175;1.030182;-0.065094
50;-0.054642;1.191483;-0.077652
51;-0.098083;1.083008;-0.084290
52;-0.040009;1.048416;-0.057343
53;-0.020065;1.095566;-0.059174
54;-0.041611;0.901688;-0.091751
55;-0.025894;0.968582;-0.043762
56;-0.053467;0.946716;-0.059387
57;-0.078613;1.134338;-0.068527
58;-0.064499;1.080444;-0.088181
59;-0.061417;1.009430;-0.071304
60;0.010284;0.897400;-0.114166
61;0.035919;0.953751;-0.030777
62;-0.069656;0.992401;-0.071838
63;-0.039093;0.976776;-0.066452
64;-0.061523;0.974884;-0.045151
65;-0.068451;0.634521;-0.007187
66;-0.027176;1.087128;-0.076553
67;-0.080261;1.199356;-0.082962
68;-0.202805;1.089157;-0.064392
69;0.001923;1.135391;-0.122025
70;0.042313;0.923401;-0.338303
71;0.019531;0.985947;-0.236084
72;0.006424;0.940842;-0.193924
73;-0.068268;0.931107;-0.129944
74;-0.111954;0.914413;-0.100540
75;-0.135681;0.981583;-0.084549
76;-0.177216;1.075821;-0.141312
77;-0.157196;0.974045;-0.139816
78;-0.109055;0.956116;-0.095184
79;-0.194214;1.100677;-0.088226
80;-0.175140;0.855759;-0.155380
81;-0.108673;0.858200;-0.204483
82;-0.045120;0.998428;-0.243011
83;-0.014725;1.000717;-0.188217
84;-0.096634;0.991898;-0.187393
