index;x;y;z
0;0.573212;0.658737;-0.469513
1;0.557983;0.678116;-0.488174
2;0.542786;0.674240;-0.487106
3;0.590271;0.634521;-0.404404
4;0.588699;0.620956;-0.395966
5;0.531296;0.588470;-0.464188
6;0.575897;0.536575;-0.506851
7;0.608505;0.535538;-0.474167
8;0.716705;0.660400;-0.305817
9;0.943985;0.375931;-0.500732
10;0.291443;0.697418;-0.320099
11;0.519241;0.861252;-0.084503
12;0.649780;0.732346;-0.472397
13;0.460938;0.647980;-0.230347
14;0.337936;0.770508;-0.285721
15;0.591751;0.837540;-0.078812
16;0.773895;0.989273;-0.120575
17;0.642532;1.009689;-0.052063
18;0.573807;1.025177;0.085083
19;0.620529;0.870316;-0.067581
20;0.345428;1.019501;-0.231216
21;0.222717;0.932236;-0.120651
22;0.583450;0.884293;-0.112534
23;0.476639;0.798462;-0.093643
24;0.419662;0.980621;-0.090485
25;0.361588;0.771210;-0.079620
26;0.415588;0.863754;-0.096451
27;0.333130;0.839096;-0.139160
28;0.340515;0.905060;-0.019592
29;0.288025;0.776550;-0.341324
30;0.467636;1.042450;-0.157944
31;0.413086;1.016891;-0.030594
32;0.171570;0.944504;-0.216629
33;0.289551;1.280457;-0.141571
34;0.282959;0.891876;-0.076050
35;0.213272;0.970306;-0.032837
36;0.095444;1.208420;-0.133820
37;0.106430;1.005630;-0.082489
38;-0.065933;0.819458;-0.119568
39;0.044525;1.045639;-0.041077
40;0.106903;1.082932;-0.096191
41;-0.035843;0.712769;-0.108215
42;-0.121979;0.725647;-0.047989
43;-0.104050;1.034424;-0.016602
44;-0.146774;1.102814;-0.036972
45;-0.007385;1.461288;-0.003983
46;0.101135;1.109024;-0.148529
47;-0.364426;0.940109;-0.434280
48;-0.482513;1.062363;0.057098
49;-0.256760;0.751419;-0.083008
50;-0.431671;0.747574;0.108932
51;-0.150970;1.031876;-0.277863
52;-0.010040;1.062576;-0.001801
53;-0.263718;0.951721;-0.095886
54;-0.246948;0.966370;-0.092346
55;-0.229187;0.953613;-0.081619
56;-0.269852;0.954025;-0.093765
57;-0.279739;0.955780;-0.124405
58;-0.285812;0.991699;-0.168137
59;-0.271835;1.019272;-0.196075
60;-0.181168;1.039764;-0.226532
61;-0.165146;1.013107;-0.261612
62;-0.194931;0.984192;-0.348373
63;-0.196106;0.914871;-0.172928
64;-0.232086;0.932983;-0.220612
65;-0.286346;1.026154;-0.284576
66;-0.108948;0.973022;-0.290283
67;-0.152603;0.988968;-0.396515
68;-0.213364;0.843628;-0.328949
69;-0.174500;0.723480;-0.263321
70;-0.179108;0.658218;-0.256729
71;-0.209167;0.730667;-0.333633
72;-0.182281;0.820374;-0.462524
73;-0.099380;0.753052;-0.543549
74;-0.007233;0.820724;-0.552002
75;-0.008301;0.937912;-0.625900
76;-0.005127;1.076126;-0.587067
