index;x;y;z
0;0.127258;-0.259949;-1.019089
1;0.082550;-0.273178;-0.985733
2;0.046478;-0.250717;-0.989212
3;0.039398;-0.254578;-0.965652
4;0.050949;-0.230530;-0.931793
5;0.034225;-0.240723;-0.824921
6;-0.053375;-0.209869;-0.885345
7;0.102585;-0.289841;-0.877151
8;0.030792;-0.272156;-0.821060
9;0.116837;-0.260132;-0.951431
10;0.076904;-0.178711;-0.980255
11;0.157318;-0.202515;-1.013168
12;0.297485;-0.222031;-1.203400
13;0.193649;-0.224152;-1.024826
14;0.185257;-0.272430;-0.915649
15;0.308273;-0.322342;-0.963364
16;0.375870;-0.433517;-0.778198
17;0.340118;-0.380371;-0.755005
18;0.281982;-0.069412;-1.057495
19;0.277695;-0.088348;-1.100906
20;0.417038;-0.059708;-0.802353
21;0.348953;0.022903;-0.896347
22;0.242493;0.115631;-0.639862
23;0.244888;0.047501;-0.521805
24;0.487091;0.143860;-0.742981
25;0.648544;0.079239;-0.755981
26;0.731262;0.140976;-0.762024
27;0.829880;0.138916;-0.703094
28;0.841553;0.231445;-0.649750
29;0.698608;0.371094;-0.717682
30;0.884552;0.393097;-0.729279
31;0.926849;0.428268;-0.610992
32;0.816193;0.585556;-0.543365
33;0.874847;0.522263;-0.675598
34;0.755569;0.658676;-0.623611
35;0.793365;0.590164;-0.457962
36;0.797607;0.595673;-0.345337
37;0.849792;0.674072;-0.184616
38;0.759583;0.635544;-0.250732
39;0.691315;0.761353;-0.286499
40;0.736984;0.700516;-0.085938
41;0.706528;0.754303;-0.016617
42;0.650208;0.716095;-0.052032
43;0.615936;0.722183;-0.052658
44;0.596237;0.716721;-0.269867
45;0.621017;0.753281;-0.103302
46;0.609116;0.716019;-0.152374
47;0.506927;0.760925;-0.052078
48;0.501877;0.740082;-0.072174
49;0.489319;0.789322;-0.072128
50;0.468857;0.870651;0.034256
51;0.774963;0.788116;-0.019073
52;0.451050;0.860764;-0.099045
53;0.459549;0.924240;-0.006714
54;0.357254;0.887833;-0.091736
55;0.333878;0.861786;-0.062332
56;0.241165;0.982895;0.018036
57;0.509232;1.008987;0.039612
58;0.277344;1.032318;-0.104462
59;0.262955;0.964935;-0.078171
60;0.273682;1.057114;-0.036270
61;0.054169;0.824570;-0.018204
62;0.232590;1.082809;-0.108627
