index;x;y;z
0;-0.045151;-0.150192;-0.906693
1;-0.058212;-0.115738;-0.997604
2;-0.049927;-0.099335;-0.999832
3;-0.055222;-0.155136;-0.942352
4;-0.064056;-0.114761;-0.997681
5;-0.068771;-0.127075;-0.959076
6;-0.134674;-0.215546;-0.737427
7;-0.093018;0.034424;-0.489868
8;-0.198563;-0.687454;-0.889740
9;0.155167;-0.059464;-0.745438
10;0.143906;-0.294403;-1.277802
11;0.249725;-0.142242;-1.061295
12;0.280853;-0.101379;-0.960007
13;0.389755;-0.272308;-0.690964
14;0.424911;-0.129074;-0.967575
15;0.524734;-0.068359;-1.092209
16;0.597717;0.045929;-0.756317
17;0.624725;-0.210876;-0.780624
18;0.711349;-0.338226;-0.841766
19;0.686066;-0.116470;-0.858398
20;0.578995;-0.201538;-0.514954
21;0.620117;-0.128342;-0.587463
22;0.701691;0.029373;-0.616394
23;0.866043;-0.026093;-1.049561
24;1.259094;-0.208939;-1.133652
25;0.883179;-0.115143;-0.903458
26;0.942230;-0.235168;-0.473938
27;1.305710;-0.471313;-0.419846
28;1.209778;-0.388107;-0.262161
29;0.863647;-0.132858;0.241577
30;0.862915;0.117493;0.421600
31;0.841629;0.710373;0.184982
32;0.721283;0.580673;-0.214859
33;0.572861;0.777954;-0.416092
34;0.814819;0.629761;-0.198608
35;1.019852;0.647781;-0.472122
36;1.006531;0.235245;-0.431732
37;0.711990;0.410019;-0.872070
38;1.135910;0.355392;-0.283508
39;1.260101;0.143204;0.192307
40;1.077591;0.267975;0.094330
41;1.079880;0.339371;0.164505
42;1.116531;0.255341;-0.098587
43;0.865234;0.083649;-0.743683
44;0.873917;0.273270;-0.106781
45;1.220642;0.332092;-0.106735
46;1.029205;0.534042;0.089127
47;0.893295;0.732895;0.246048
48;0.748627;0.639801;0.239792
49;0.447037;0.746796;-0.075195
50;0.576004;0.695786;-0.346771
51;0.622757;0.717667;0.156876
52;0.375381;0.651855;0.148575
53;0.533127;0.728622;0.043457
54;0.651321;0.755859;-0.185013
55;1.523575;0.886658;0.426224
56;0.396927;0.793793;0.053940
57;0.412567;0.638123;-0.319458
58;0.427795;0.850235;0.189438
59;0.288406;0.924469;-0.012024
60;0.211273;0.896027;-0.136154
61;1.003281;0.733002;0.347549
62;0.362518;1.312515;-0.076538
63;0.504593;1.127274;-0.037872
64;0.533295;0.869461;-0.015198
65;0.577866;0.834610;0.214279
66;0.106857;0.332779;0.079224
67;0.454697;0.312744;-0.095016
68;0.394974;1.046555;0.199188
69;0.305542;1.218414;0.000275
70;0.227493;0.901764;-0.151794
71;0.151642;0.731888;-0.032837
72;-0.006500;0.512131;0.168671
73;-0.048935;0.400528;0.120895
74;0.079803;0.393570;-0.209198
75;-1.953384;7.688599;0.697632
76;0.215424;0.216156;0.490082
77;-0.233292;1.021729;0.060242
78;-0.104645;0.961426;0.128677
79;-0.194504;0.841843;0.101059
80;-0.075241;0.721603;0.015671
81;-0.188217;1.595993;0.205460
82;-0.023666;0.899658;0.032593
83;-0.263138;0.948914;0.026917
84;-0.165283;0.958649;0.092590
85;-0.165024;0.950348;0.088348
86;-0.155258;1.002350;0.024277
87;-0.096252;0.988571;0.027573
88;0.026810;0.995453;0.079971
89;-0.013580;0.989502;0.049454
90;-0.056229;0.951950;0.052124
91;-0.059601;0.973083;0.069031
92;-0.167618;0.983719;0.040649
93;-0.130493;0.922928;0.032120
94;-0.134689;0.980209;0.109970
95;-0.122375;1.005386;0.052505
96;-0.112625;0.987320;0.038971
97;-0.117783;1.017075;-0.023163
98;0.022156;1.183258;-0.032715
99;-0.084564;1.324295;0.033432
100;-0.297073;1.360153;-0.276169
