index;x;y;z
0;-0.012039;-0.302032;-0.911316
1;0.011887;-0.262390;-0.928696
2;0.004684;-0.330490;-0.906006
3;0.034378;-0.233215;-0.897888
4;0.019699;-0.232910;-0.884171
5;-0.037796;-0.342712;-0.832413
6;-0.028976;-0.419601;-0.972458
7;-0.035522;-0.333740;-0.919586
8;-0.202942;-0.317963;-0.948135
9;-0.167953;-0.299210;-1.005661
10;-0.041229;-0.349777;-0.974472
11;-0.209595;-0.340881;-0.975464
12;-0.095490;-0.273483;-0.890945
13;-0.159103;-0.324219;-0.944611
14;-0.193100;-0.245621;-0.940460
15;-0.183502;-0.201096;-0.955200
16;-0.311920;-0.259735;-0.953339
17;-0.310562;-0.047882;-1.167801
18;-0.303375;-0.163574;-0.968964
19;-0.252472;-0.236282;-0.987732
20;-0.266953;-0.090576;-0.897491
21;-0.497131;-0.172745;-0.825516
22;-0.497314;-0.119232;-0.880081
23;-0.395096;-0.085236;-0.885330
24;-0.458984;-0.169922;-1.852737
25;-0.377686;-0.075272;-0.403748
26;-0.543793;0.056793;-0.584702
27;-0.708267;-0.049255;-0.510544
28;-0.852722;0.038361;-0.692978
29;-0.896072;-0.053040;-0.591049
30;-0.833359;-0.096527;-0.669434
31;-0.944061;-0.136688;-0.362930
32;-1.052505;-0.166275;-0.099228
33;-0.902145;-0.200897;-0.216171
34;-0.833191;-0.140945;-0.301285
35;-0.920761;-0.081848;0.039917
36;-1.128860;0.002289;-0.052689
37;-0.990143;0.102142;-0.270142
38;-1.029785;0.142349;-0.272064
39;-0.963745;0.206863;-0.222427
40;-0.960114;0.224304;-0.067062
41;-0.954941;0.257050;-0.089722
42;-0.937500;0.257690;-0.167038
43;-0.864166;0.182480;-1.276810
44;-1.021317;0.344589;-0.235657
45;-0.701813;0.313034;-0.065048
46;-0.654953;0.414383;-0.091873
47;-1.126053;0.568771;-0.197876
48;-0.968414;0.440430;-0.092224
49;-0.519760;0.488937;0.138245
50;-1.871063;2.155396;2.298950
51;-2.195145;0.791702;-0.967941
52;-1.051636;0.641159;0.904144
53;-0.272202;0.711807;0.761002
54;-0.449463;0.344635;-0.096863
55;-0.355804;0.356445;-0.102386
56;-0.404892;0.270157;0.105713
57;-0.259827;0.316681;-0.145264
58;-0.307495;0.868576;0.299423
59;-0.442963;1.458908;-0.014099
60;-0.106644;1.493683;0.738678
61;-0.383957;1.118530;-0.505692
62;-0.133484;0.607208;0.562073
63;-0.161972;0.560135;0.340607
64;-0.164734;0.651428;0.325455
65;0.310333;0.483078;0.187332
66;-0.181503;3.851425;0.146561
67;0.621353;0.796921;0.328262
68;0.041229;0.779160;0.125031
69;0.013184;0.974152;-0.025421
70;-0.058731;0.987595;0.071259
71;-0.169556;1.007492;0.302109
72;0.001816;1.115463;0.165894
73;0.159821;1.162048;0.092682
74;0.235382;1.278046;-0.058624
75;0.425461;1.482544;-0.232498
76;0.186249;1.452347;-0.296082
77;-0.123825;1.156525;-0.328644
78;-0.347488;1.246353;0.418182
79;-0.362885;1.506622;0.245544
80;-0.079590;1.190308;-0.318253
81;0.188187;0.987625;0.032547
82;0.298767;0.849670;-0.195282
83;0.109665;0.577545;0.004242
84;0.012314;0.489441;-0.023361
85;-0.089661;0.406784;0.138885
86;-0.142975;0.327881;0.101822
87;0.029449;0.496109;-0.245956
88;0.288284;0.811325;-0.963776
89;0.797440;1.523163;-1.361694
90;0.603836;1.527069;-0.829178
91;0.028244;0.671921;-0.461899
92;-0.225357;0.927307;-0.288712
93;0.556244;2.444168;-0.219818
94;-0.699020;0.359085;-0.225479
95;-1.395645;0.226791;0.760330
96;-0.503494;1.134109;0.302917
97;0.244690;1.719284;0.295624
98;0.784470;1.083618;-0.104370
99;0.423203;0.610275;-0.178925
100;0.009537;0.553299;0.030548
101;-0.194977;0.858276;-0.055984
102;-0.149658;0.979996;-0.151733
103;-0.104187;0.688828;0.121765
104;-0.005600;0.815445;0.104462
105;0.307968;0.960312;-0.104828
106;-0.029663;1.022949;0.270218
107;0.346802;0.987167;0.296982
108;0.264832;1.583603;-0.117493
109;0.377365;1.790939;-0.313248
110;0.384048;1.563965;-0.100479
111;-0.161880;1.271545;-0.313766
112;-0.528488;2.032730;0.466446
113;-0.438721;1.705017;-0.338531
114;-0.344574;1.172485;0.201126
115;-0.180267;0.926041;-0.071472
116;0.261765;0.562012;0.361832
117;-0.025818;0.328323;0.150543
118;-0.286758;0.030502;0.487839
119;-0.131210;-0.256302;0.233109
120;0.289673;0.460312;-0.880722
121;1.075302;2.025467;-1.766449
122;-0.302002;2.088989;-0.932205
123;-0.478043;-0.052963;-0.332886
124;-0.812317;1.112900;1.439850
125;-0.816101;2.659637;1.442398
126;-0.223434;0.606522;0.769714
127;-0.411133;0.938034;0.113953
128;-0.061768;1.320709;0.161591
129;0.796539;1.142639;-0.326172
130;-0.022690;0.429626;-0.105362
131;-0.497437;0.727722;-0.186798
132;-0.081406;0.970596;-0.192551
133;-0.044830;0.698730;0.297592
134;-0.100723;0.717163;0.134628
135;0.195267;0.983017;-0.288834
136;0.235748;1.593704;0.165619
137;0.177414;1.508667;-0.450836
138;0.527832;1.923721;-0.174667
139;0.103882;1.384766;-0.016754
140;-0.383484;1.463211;0.006790
141;-0.362183;1.912048;0.302261
142;-0.424515;1.565704;-0.187485
143;-0.406631;0.945328;-0.006485
144;-0.227615;0.669128;0.076126
145;0.171432;0.482803;0.203796
146;-0.070358;0.339020;0.203812
147;-0.347931;0.012482;0.379532
148;-0.095642;-0.179688;0.172775
149;0.359177;0.472458;-0.948563
150;0.894516;2.041611;-1.580246
151;-0.331131;1.656448;-1.118347
152;-0.059448;-0.029556;-0.244904
153;-1.529205;1.339478;0.534012
154;-0.183243;2.098572;2.180542
155;-0.247284;0.451004;0.783539
156;-0.520462;0.991882;0.119827
157;-0.090424;1.644699;0.184174
158;0.608200;1.154922;-0.394684
159;-0.058701;0.392014;-0.070648
160;-0.314590;0.365417;-0.086929
161;-0.242859;0.698059;0.019287
